Date,NewDeaths,TotalDead,NewCases,TotalCases,MortalityRate,PercentagePopWithCholera,,Month,Year,Unix
25-Jan-13,1,8012,124,644402,1.24,6.21,,1,2013,1359072000
27-Jan-13,0,8014,130,644665,1.24,6.21,,1,2013,1359244800
29-Jan-13,1,8016,140,644942,1.24,6.21,,1,2013,1359417600
31-Jan-13,3,8019,157,645241,1.24,6.21,,1,2013,1359590400
2-Feb-13,0,8019,127,645536,1.24,6.22,,2,2013,1359763200
4-Feb-13,0,8020,128,645767,1.24,6.22,,2,2013,1359936000
6-Feb-13,0,8020,81,645964,1.24,6.22,,2,2013,1360108800
8-Feb-13,0,8020,103,645350,1.24,6.22,,2,2013,1360281600
10-Feb-13,0,8020,99,646545,1.24,6.23,,2,2013,1360454400
12-Feb-13,1,8023,97,646743,1.24,6.23,,2,2013,1360627200
14-Feb-13,1,8026,128,647256,1.24,6.23,,2,2013,1360800000
16-Feb-13,0,8026,87,647441,1.24,6.24,,2,2013,1360972800
18-Feb-13,0,8034,92,647814,1.24,6.24,,2,2013,1361145600
20-Feb-13,0,8034,52,647938,1.24,6.24,,2,2013,1361318400
22-Feb-13,0,8035,101,648496,1.24,6.25,,2,2013,1361491200
24-Feb-13,1,8036,87,648687,1.24,6.25,,2,2013,1361664000
26-Feb-13,0,8036,69,648848,1.24,6.25,,2,2013,1361836800
28-Feb-13,0,8051,83,649119,1.24,6.25,,2,2013,1362009600
2-Mar-13,1,8056,93,649308,1.24,6.25,,3,2013,1362182400
4-Mar-13,1,8057,66,649949,1.24,6.26,,3,2013,1362355200
6-Mar-13,2,8048,107,649959,1.24,6.26,,3,2013,1362528000
8-Mar-13,0,8048,55,649980,1.24,6.26,,3,2013,1362700800
10-Mar-13,0,8048,33,650079,1.24,6.26,,3,2013,1362873600
12-Mar-13,0,8048,43,650179,1.24,6.26,,3,2013,1363046400
14-Mar-13,0,8051,110,650630,1.24,6.27,,3,2013,1363219200
16-Mar-13,0,8051,72,650777,1.24,6.27,,3,2013,1363392000
18-Mar-13,0,8051,66,650896,1.24,6.27,,3,2013,1363564800
20-Mar-13,0,8051,77,651050,1.24,6.27,,3,2013,1363737600
22-Mar-13,1,8052,78,651193,1.24,6.27,,3,2013,1363910400
24-Mar-13,1,8053,69,651339,1.24,6.27,,3,2013,1364083200
26-Mar-13,0,8057,71,652426,1.23,6.28,,3,2013,1364256000
28-Mar-13,0,8057,61,652552,1.23,6.29,,3,2013,1364428800
30-Mar-13,2,8060,61,652666,1.23,6.29,,3,2013,1364601600
1-Apr-13,0,8060,55,652785,1.23,6.29,,4,2013,1364774400
3-Apr-13,0,8062,64,653025,1.23,6.29,,4,2013,1364947200
5-Apr-13,0,8060,59,652958,1.23,6.29,,4,2013,1365120000
7-Apr-13,0,8060,24,653025,1.23,6.29,,4,2013,1365292800
9-Apr-13,1,8065,94,653469,1.23,6.29,,4,2013,1365465600
11-Apr-13,1,8066,75,653600,1.23,6.3,,4,2013,1365638400
13-Apr-13,0,8066,59,653731,1.23,6.3,,4,2013,1365811200
15-Apr-13,1,8094,72,653954,1.24,6.3,,4,2013,1365984000
17-Apr-13,3,8098,70,654077,1.24,6.3,,4,2013,1366156800
19-Apr-13,0,8099,75,654211,1.24,6.3,,4,2013,1366329600
21-Apr-13,0,8099,57,654337,1.24,6.3,,4,2013,1366502400
23-Apr-13,1,8100,67,654483,1.24,6.3,,4,2013,1366675200
25-Apr-13,1,8101,52,654583,1.24,6.3,,4,2013,1366848000
27-Apr-13,0,8102,53,654686,1.24,6.31,,4,2013,1367020800
29-Apr-13,0,8105,67,654997,1.24,6.31,,4,2013,1367193600
1-May-13,0,8105,34,655098,1.24,6.31,,5,2013,1367366400
3-May-13,0,8105,54,655208,1.24,6.31,,5,2013,1367539200
5-May-13,0,8105,43,655300,1.24,6.31,,5,2013,1367712000
7-May-13,1,8086,73,655958,1.23,6.32,,5,2013,1367884800
9-May-13,0,8088,71,656077,1.23,6.32,,5,2013,1368057600
11-May-13,0,8089,69,656240,1.23,6.32,,5,2013,1368230400
13-May-13,0,8090,41,656321,1.23,6.32,,5,2013,1368403200
15-May-13,0,8091,42,656442,1.23,6.32,,5,2013,1368576000
17-May-13,0,8091,23,656502,1.23,6.32,,5,2013,1368748800
19-May-13,0,8091,26,656554,1.23,6.32,,5,2013,1368921600
21-May-13,0,8093,73,657078,1.23,6.33,,5,2013,1369094400
23-May-13,0,8115,93,657722,1.23,6.34,,5,2013,1369267200
25-May-13,2,8117,59,657861,1.23,6.34,,5,2013,1369440000
27-May-13,0,8119,61,657983,1.23,6.34,,5,2013,1369612800
29-May-13,1,8107,83,658245,1.23,6.34,,5,2013,1369785600
31-May-13,3,8110,96,658421,1.23,6.34,,5,2013,1369958400
2-Jun-13,0,8111,63,658563,1.23,6.34,,6,2013,1370131200
14-Jun-13,3,8128,108,660401,1.23,6.36,,6,2013,1371168000
16-Jun-13,1,8129,80,660592,1.23,6.36,,6,2013,1371340800
18-Jun-13,0,8130,85,660761,1.23,6.36,,6,2013,1371513600
20-Jun-13,0,8138,69,661211,1.23,6.37,,6,2013,1371686400
22-Jun-13,0,8138,80,661392,1.23,6.37,,6,2013,1371859200
24-Jun-13,3,8152,97,662737,1.23,6.38,,6,2013,1372032000
26-Jun-13,4,8157,79,662903,1.23,6.39,,6,2013,1372204800
28-Jun-13,1,8159,54,663032,1.23,6.39,,6,2013,1372377600
30-Jun-13,0,8160,52,663134,1.23,6.39,,6,2013,1372550400
2-Jul-13,5,8174,132,664391,1.23,6.4,,7,2013,1372723200
4-Jul-13,0,8175,113,664662,1.23,6.4,,7,2013,1372896000
6-Jul-13,1,8179,128,664921,1.23,6.4,,7,2013,1373068800
8-Jul-13,1,8181,113,665221,1.23,6.41,,7,2013,1373241600
10-Jul-13,1,8182,89,665450,1.23,6.41,,7,2013,1373414400
12-Jul-13,0,8182,81,665648,1.23,6.41,,7,2013,1373587200
14-Jul-13,1,8183,86,665845,1.23,6.41,,7,2013,1373760000
16-Jul-13,1,8191,74,666450,1.23,6.42,,7,2013,1373932800
18-Jul-13,1,8190,109,666841,1.23,6.42,,7,2013,1374105600
20-Jul-13,0,8190,94,667046,1.23,6.43,,7,2013,1374278400
22-Jul-13,1,8191,142,667602,1.23,6.43,,7,2013,1374451200
24-Jul-13,1,8193,117,667822,1.23,6.43,,7,2013,1374624000
26-Jul-13,1,8194,106,668052,1.23,6.43,,7,2013,1374796800
28-Jul-13,1,8197,127,668270,1.23,6.44,,7,2013,1374969600
30-Jul-13,0,8209,139,668856,1.23,6.44,,7,2013,1375142400
1-Aug-13,1,8211,110,669071,1.23,6.44,,8,2013,1375315200
3-Aug-13,2,8217,108,669295,1.23,6.45,,8,2013,1375488000
5-Aug-13,1,8219,139,670085,1.23,6.45,,8,2013,1375660800
7-Aug-13,3,8222,127,670328,1.23,6.46,,8,2013,1375833600
9-Aug-13,0,8226,100,670539,1.23,6.46,,8,2013,1376006400
11-Aug-13,0,8226,95,670712,1.23,6.46,,8,2013,1376179200
15-Aug-13,0,8231,109,671610,1.23,6.47,,8,2013,1376524800
17-Aug-13,0,8231,96,671823,1.23,6.47,,8,2013,1376697600
19-Aug-13,2,8236,142,672214,1.23,6.47,,8,2013,1376870400
21-Aug-13,2,8239,155,672514,1.23,6.48,,8,2013,1377043200
23-Aug-13,3,8245,112,672770,1.23,6.48,,8,2013,1377216000
25-Aug-13,0,8245,92,672961,1.23,6.48,,8,2013,1377388800
27-Aug-13,1,8248,90,673444,1.22,6.49,,8,2013,1377561600
31-Aug-13,0,8251,87,674271,1.22,6.49,,8,2013,1377907200
2-Sep-13,2,8256,149,674637,1.22,6.5,,9,2013,1378080000
4-Sep-13,2,8258,125,674879,1.22,6.5,,9,2013,1378252800
6-Sep-13,1,8261,57,675099,1.22,6.5,,9,2013,1378425600
8-Sep-13,0,8261,64,675216,1.22,6.5,,9,2013,1378598400
10-Sep-13,2,8268,231,676187,1.22,6.51,,9,2013,1378771200
14-Sep-13,3,8279,154,676820,1.22,6.52,,9,2013,1379116800
16-Sep-13,1,8281,183,677677,1.22,6.53,,9,2013,1379289600
18-Sep-13,3,8286,160,678094,1.22,6.53,,9,2013,1379462400
20-Sep-13,0,8286,156,678441,1.22,6.53,,9,2013,1379635200
22-Sep-13,2,8288,158,678738,1.22,6.54,,9,2013,1379808000
26-Sep-13,1,8297,156,679637,1.22,6.55,,9,2013,1380153600
28-Sep-13,1,8303,190,680409,1.22,6.55,,9,2013,1380326400
30-Sep-13,4,8307,209,680787,1.22,6.56,,9,2013,1380499200
2-Oct-13,3,8313,219,681194,1.22,6.56,,10,2013,1380672000
4-Oct-13,3,8318,198,681559,1.22,6.56,,10,2013,1380844800
6-Oct-13,2,8322,177,681928,1.22,6.57,,10,2013,1381017600
8-Oct-13,3,8326,190,682303,1.22,6.57,,10,2013,1381190400
10-Oct-13,2,8330,98,682573,1.22,6.57,,10,2013,1381363200
12-Oct-13,3,8338,177,683283,1.22,6.58,,10,2013,1381536000
14-Oct-13,4,8350,185,683622,1.22,6.58,,10,2013,1381708800
16-Oct-13,3,8359,144,683943,1.22,6.59,,10,2013,1381881600
18-Oct-13,0,8364,223,683902,1.22,6.59,,10,2013,1382054400
20-Oct-13,3,8370,229,684340,1.22,6.59,,10,2013,1382227200
22-Oct-13,7,8380,189,684723,1.22,6.6,,10,2013,1382400000
24-Oct-13,1,8382,208,685142,1.22,6.6,,10,2013,1382572800
30-Oct-13,0,8390,141,686294,1.22,6.61,,10,2013,1383091200
1-Nov-13,1,8392,87,686498,1.22,6.61,,11,2013,1383264000
3-Nov-13,2,8398,72,686664,1.22,6.61,,11,2013,1383436800
5-Nov-13,8,8412,99,687080,1.22,6.62,,11,2013,1383609600
7-Nov-13,2,8416,104,687287,1.22,6.62,,11,2013,1383782400
9-Nov-13,6,8424,69,687467,1.23,6.62,,11,2013,1383955200
11-Nov-13,4,8442,189,689132,1.23,6.64,,11,2013,1384128000
13-Nov-13,2,8448,134,689448,1.23,6.64,,11,2013,1384300800
15-Nov-13,3,8453,36,689645,1.23,6.64,,11,2013,1384473600
17-Nov-13,5,8462,131,690255,1.23,6.65,,11,2013,1384646400
19-Nov-13,2,8466,143,690559,1.23,6.65,,11,2013,1384819200
21-Nov-13,0,8467,94,690766,1.23,6.65,,11,2013,1384992000
23-Nov-13,1,8470,115,692098,1.22,6.67,,11,2013,1385164800
25-Nov-13,1,8472,145,692829,1.22,6.67,,11,2013,1385337600
27-Nov-13,0,8474,123,693088,1.22,6.68,,11,2013,1385510400
29-Nov-13,2,8481,175,693714,1.22,6.68,,11,2013,1385683200
1-Dec-13,2,8484,109,693984,1.22,6.68,,12,2013,1385856000
3-Dec-13,2,8488,111,694195,1.22,6.69,,12,2013,1386028800
5-Dec-13,1,8492,34,694309,1.22,6.69,,12,2013,1386201600
13-Dec-13,1,8504,84,695367,1.22,6.7,,12,2013,1386892800
15-Dec-13,0,8504,54,695491,1.22,6.7,,12,2013,1387065600
17-Dec-13,0,8515,50,695682,1.22,6.7,,12,2013,1387238400
19-Dec-13,0,8515,8,695716,1.22,6.7,,12,2013,1387411200
21-Dec-13,3,8526,87,696253,1.22,6.71,,12,2013,1387584000
23-Dec-13,3,8530,68,696385,1.22,6.71,,12,2013,1387756800
25-Dec-13,0,8530,51,696491,1.22,6.71,,12,2013,1387929600
29-Dec-13,0,8531,42,696733,1.22,6.71,,12,2013,1388275200
31-Dec-13,0,8531,29,696794,1.22,6.71,,12,2013,1388448000
2-Jan-14,0,8531,44,696865,1.22,6.71,,1,2014,1388620800
4-Jan-14,0,8531,30,696922,1.22,6.71,,1,2014,1388793600
6-Jan-14,0,8534,55,697206,1.22,6.72,,1,2014,1388966400
8-Jan-14,1,8534,43,697856,1.22,6.72,,1,2014,1389139200
10-Jan-14,0,8534,44,697942,1.22,6.72,,1,2014,1389312000
12-Jan-14,0,8536,21,697987,1.22,6.72,,1,2014,1389484800
14-Jan-14,2,8539,37,698065,1.22,6.72,,1,2014,1389657600
16-Jan-14,0,8539,22,698106,1.22,6.72,,1,2014,1389830400
